Class,TextLength,2e,account,bank,br,div,kin,mail,million,money,mr,nbsp,security,state,strong,sum,time,transaction,transfer,united,years
0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.082874,0,0,0,0
1,1335,11.220378,10.082874,0,0,0,0,0,10.734952,25.084612,0,0,0,0,0,11.957344,9.082874,0,0,11.220378,0
0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3252,0,20.165749,23.073233,0,0,31.887844,18.299978,10.734952,35.644707,5.347549,0,0,0,0,11.957344,0,23.914688,21.084612,0,11.957344
0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1069,26.593904,0,0,0,0,0,0,0,12.542306,0,0,0,0,0,11.957344,0,0,0,0,0
0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,967,0,0,9.734952,0,0,0,0,0,12.542306,0,0,0,10.957344,0,0,0,0,0,0,0
1,2287,0,30.248623,23.073233,0,0,0,0,10.734952,32.421391,12.674459,0,0,0,0,11.957344,0,11.957344,21.084612,0,0
0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3042,0,20.165749,25.164486,0,0,22.440756,0,10.734952,29.727064,13.823215,0,28.324326,0,0,11.957344,9.082874,30.909286,0,0,23.914688
1,1301,0,0,25.164486,0,0,0,0,10.734952,0,0,0,0,0,0,0,0,0,0,11.220378,0
1,3264,0,10.082874,9.734952,0,0,0,0,10.734952,12.542306,0,0,0,0,0,0,0,23.914688,0,22.440756,0
0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1143,0,10.082874,0,0,0,0,0,0,12.542306,0,0,10.957344,10.957344,0,0,0,0,0,0,0
0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2759,37.273289,23.897858,9.734952,0,0,0,9.149989,10.734952,34.265842,10.695099,0,10.957344,0,0,23.914688,9.082874,11.957344,24.986776,0,0
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2477,0,30.853811,23.073233,0,0,26.593904,9.149989,21.469904,12.542306,5.347549,0,10.957344,0,0,11.957344,0,23.914688,10.542306,11.220378,11.957344
0,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2600,35.421162,0,0,0,0,0,18.299978,10.734952,0,0,0,0,0,0,11.957344,0,28.34062,0,0,0
1,2503,0,23.897858,19.469904,0,0,0,0,10.734952,0,0,0,10.957344,0,0,23.914688,0,0,24.986776,0,0
0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1370,0,10.082874,9.734952,26.729139,0,0,0,0,0,0,37.361698,0,0,0,0,9.082874,11.957344,10.542306,0,0
0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2786,0,20.165749,0,29.235415,22.52965,0,18.299978,10.734952,25.084612,5.347549,29.789162,21.914688,10.957344,0,11.957344,9.082874,0,10.542306,11.220378,0
1,3101,0,20.165749,9.734952,0,0,0,0,21.469904,12.542306,0,0,10.957344,0,0,28.34062,0,32.667713,24.986776,11.220378,11.957344
0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2081,0,0,9.734952,0,0,0,0,10.734952,12.542306,0,0,10.957344,0,0,11.957344,0,0,10.542306,0,0
1,5644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2496,0,10.082874,23.073233,0,0,31.887844,0,0,36.733768,5.347549,0,0,0,0,0,0,0,21.084612,0,11.957344
1,2577,38.283356,20.165749,19.469904,0,0,0,0,29.328114,34.265842,10.695099,0,0,0,0,0,9.082874,28.34062,24.986776,11.220378,0
1,2005,0,0,9.734952,0,0,0,0,0,25.084612,0,0,10.957344,0,0,11.957344,0,0,0,22.440756,0
1,2990,0,20.165749,27.666325,0,0,29.004257,18.299978,10.734952,12.542306,0,0,0,10.957344,0,11.957344,0,28.34062,10.542306,11.220378,0
1,1433,29.004257,0,0,0,0,0,0,0,29.727064,0,0,0,0,0,0,0,11.957344,10.542306,0,0
0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3561,0,10.082874,25.164486,0,0,0,26.003885,0,32.421391,0,0,0,0,0,0,9.082874,0,21.084612,22.440756,0
0,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,795,26.593904,0,0,0,0,0,0,0,0,5.347549,0,0,0,0,11.957344,0,0,0,0,0
0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3357,38.283356,0,0,0,0,0,9.149989,10.734952,37.626919,12.674459,0,29.935692,0,0,11.957344,0,23.914688,0,11.220378,0
0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1517,0,28.655106,25.164486,0,0,22.440756,9.149989,10.734952,12.542306,0,0,0,10.957344,0,0,0,11.957344,0,11.220378,23.914688
1,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,867,0,0,0,0,0,11.220378,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,544,0,0,0,0,0,0,0,0,0,0,0,0,0,9.957344,0,9.082874,0,0,0,0
0,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1481,0,20.165749,9.734952,0,0,22.440756,0,10.734952,12.542306,5.347549,0,0,0,0,0,0,0,0,0,0
1,2551,0,10.082874,0,17.469904,12.282854,0,26.798389,10.734952,12.542306,5.347549,0,21.914688,10.957344,0,23.914688,0,23.914688,10.542306,0,0
1,2376,36.637264,23.897858,0,0,0,0,0,10.734952,25.084612,0,0,31.140312,21.914688,0,23.914688,0,11.957344,0,0,0
1,3669,0,10.082874,0,0,0,0,0,0,35.644707,0,0,21.914688,0,0,11.957344,0,11.957344,0,0,11.957344
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2782,0,23.897858,19.469904,0,0,0,21.686787,21.469904,32.421391,0,0,0,0,0,28.34062,18.165749,30.909286,0,11.220378,0
0,201,0,0,0,0,0,0,0,0,0,0,0,0,21.914688,0,0,0,0,0,0,0
0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
